date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:16:05	6970/6970	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Jul%202017%2012:46:12%20GMT	http://metroklimat.ru/catalog/kassetnie/fujitsu_general/%2Fcatalog%2Fkassetnie%2Ffujitsu_general%2F896.html	D:/Job/metroklimat/metroklimat.ru/metroklimat.ru/catalog/kassetnie/fujitsu_general/catalog/kassetnie/fujitsu_general/896.html	(from http://metroklimat.ru/catalog/kassetnie/fujitsu_general/896.html)
18:16:05	8585/8585	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Feb%202012%2008:26:28%20GMT	http://metroklimat.ru/img/big/22741.jpg	D:/Job/metroklimat/metroklimat.ru/metroklimat.ru/img/big/22741.jpg	(from http://metroklimat.ru/catalog/kassetnie/fujitsu_general/896.html)
18:16:06	1702/1702	---M--	200	added ('OK')	image/x-png	date:Thu,%2020%20Jul%202017%2012:46:13%20GMT	http://metroklimat.ru/img.php?v=803519861418	D:/Job/metroklimat/metroklimat.ru/metroklimat.ru/img5f0d.php	(from http://metroklimat.ru/catalog/kassetnie/fujitsu_general/896.html)
18:16:06	6971/6971	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Jul%202017%2012:46:13%20GMT	http://metroklimat.ru/catalog/kassetnie/fujitsu_general/%2Fcatalog%2Fkassetnie%2Ffujitsu_general%2F1318.html	D:/Job/metroklimat/metroklimat.ru/metroklimat.ru/catalog/kassetnie/fujitsu_general/catalog/kassetnie/fujitsu_general/1318.html	(from http://metroklimat.ru/catalog/kassetnie/fujitsu_general/1318.html)
18:16:06	12506/12506	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Feb%202012%2008:40:54%20GMT	http://metroklimat.ru/img/big/848982.jpg	D:/Job/metroklimat/metroklimat.ru/metroklimat.ru/img/big/848982.jpg	(from http://metroklimat.ru/catalog/kassetnie/fujitsu_general/1318.html)
18:16:07	1746/1746	---M--	200	added ('OK')	image/x-png	date:Thu,%2020%20Jul%202017%2012:46:14%20GMT	http://metroklimat.ru/img.php?v=162745311260	D:/Job/metroklimat/metroklimat.ru/metroklimat.ru/img52bc.php	(from http://metroklimat.ru/catalog/kassetnie/fujitsu_general/1318.html)
18:16:07	6971/6971	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Jul%202017%2012:46:14%20GMT	http://metroklimat.ru/catalog/kassetnie/fujitsu_general/%2Fcatalog%2Fkassetnie%2Ffujitsu_general%2F1058.html	D:/Job/metroklimat/metroklimat.ru/metroklimat.ru/catalog/kassetnie/fujitsu_general/catalog/kassetnie/fujitsu_general/1058.html	(from http://metroklimat.ru/catalog/kassetnie/fujitsu_general/1058.html)
18:16:08	8585/8585	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Feb%202012%2008:42:44%20GMT	http://metroklimat.ru/img/big/920173.jpg	D:/Job/metroklimat/metroklimat.ru/metroklimat.ru/img/big/920173.jpg	(from http://metroklimat.ru/catalog/kassetnie/fujitsu_general/1058.html)
18:16:08	1742/1742	---M--	200	added ('OK')	image/x-png	date:Thu,%2020%20Jul%202017%2012:46:15%20GMT	http://metroklimat.ru/img.php?v=733011847523	D:/Job/metroklimat/metroklimat.ru/metroklimat.ru/img7e61.php	(from http://metroklimat.ru/catalog/kassetnie/fujitsu_general/1058.html)
18:16:08	6970/6970	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Jul%202017%2012:46:15%20GMT	http://metroklimat.ru/catalog/kassetnie/fujitsu_general/%2Fcatalog%2Fkassetnie%2Ffujitsu_general%2F383.html	D:/Job/metroklimat/metroklimat.ru/metroklimat.ru/catalog/kassetnie/fujitsu_general/catalog/kassetnie/fujitsu_general/383.html	(from http://metroklimat.ru/catalog/kassetnie/fujitsu_general/383.html)
